Sl No.,Course,Instructor name,Department,Programm,Branch/Semester/Section,Offered L-T-P,Time Table
19,ECO401(UAV Sensors),Jaisingh  Thangaraj,ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-C12                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-C12                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-C12
20,ECO520(Optical Networks),"Jaisingh  Thangaraj,Naresh Sharma",ece,b.tech,ece/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C6                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-C6                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-C6
21,EED405(Instrumentation ),Nitai  Pal,ee,b.tech,ee/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-G6                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-G6                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-G6
22,EED406(Special Purpose Electric Machines and Drives ),Sukanta  Das,ee,b.tech,ee/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-G6                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-G6                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-G6
23,EEO406(Modern Sensors and Signal Conditioning Circuits),Tanmoy  Maity,ee,b.tech,ee/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         12:00-12:50
24,EEO407(Condition Monitoring of Electrical Machines),Priyatosh Mahish,ee,b.tech,ee/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                                                                                                                                                                            Thursday                                         02:00-02:50                                                                                                                                                                                            Friday                                         02:00-02:50
25,ESD406(Environmental Nano Technology),Saravanan  Pichiah,ese,b.tech,env/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C9                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-II-C9                                                                                                                                                   Friday                                         11:00-11:50                                         LC-II-C9
26,ESD503(Environmental Modelling),Alok  Sinha,ese,b.tech,env/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-G11                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-G11                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-G11
27,ESD505(Advanced Water and Wastewater Treatment),"Brijesh Kumar Mishra,Sheeja  Jagadevan",ese,b.tech,env/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-C9                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-C9                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-C9
28,ESO505(Climate Change and Modelling),Vittal  H,ese,b.tech,env/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-C16                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-C16                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-C16
29,MSO403(Foundations of Management and Organizational Behaviour),"Govind Swaroop Pathak,Sabnam  Basu",ese,b.tech,env/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         LC-II-G8                                                                                                                                                   Tuesday                                         12:00-12:50                                         LC-II-G8                                                                                                                                                   Wednesday                                         12:00-12:50                                         LC-II-G8
30,FMD462(Process Control and Plant Layout),Shravan  Kumar,fme,b.tech,mlmte/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-I-C14                                                                                                                                                   Thursday                                         11:00-11:50                                         LC-I-C14                                                                                                                                                   Friday                                         11:00-11:50                                         LC-I-C14
31,FMD522(Coal Preparation),Anand  Anupam,fme,b.tech,mlmte/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-C14                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-C14                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-C14
