Sl No.,Course,Instructor name,Department,Programm,Branch/Semester/Section,Offered L-T-P,Time Table
56,PHD511(Astrophysics and Cosmology),Shreya  Banerjee,phy,b.tech,ep/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C7                                                                                                                                                   Tuesday                                         10:00-10:50                                         LC-II-C7                                                                                                                                                   Wednesday                                         10:00-10:50                                         LC-II-C7
57,PHD512(Nonlinear Optics),Umakanta  Tripathy,phy,b.tech,ep/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         11:00-11:50                                         LC-II-C15                                                                                                                                                   Thursday                                         10:00-10:50                                         LC-II-C15                                                                                                                                                   Friday                                         10:00-10:50                                         LC-II-C15
58,PHD513(Semiconductor Physics and Technology),R  Thangavel,phy,b.tech,ep/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C15                                                                                                                                                   Tuesday                                         10:00-10:50                                         LC-II-C15                                                                                                                                                   Wednesday                                         10:00-10:50                                         LC-II-C15
59,PHD571(Advanced Mathematical Methods in Physics),Manu Kurian,phy,b.tech,ep/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         11:00-11:50                                         LC-II-C15                                                                                                                                                   Tuesday                                         10:00-10:50                                         LC-II-C15                                                                                                                                                   Wednesday                                         10:00-10:50                                         LC-II-C15
60,PHO503(Physics of Nanomaterials),Asit Kumar Kar,phy,b.tech,ep/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Wednesday                                         02:00-02:50                                         LC-II-C7                                                                                                                                                   Thursday                                         02:00-02:50                                         LC-II-C7                                                                                                                                                   Friday                                         02:00-02:50                                         LC-II-C7
61,PHO505(Quantum Physics),Sumit Kumar,phy,b.tech,ep/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                                                                                                                                                                            Tuesday                                         12:00-12:50                                                                                                                                                                                            Wednesday                                         12:00-12:50
62,PHO572(Photonics and Fibre Optics),Vinod Kumar Singh,phy,b.tech,ep/8/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         12:00-12:50                                         AGL-1                                                                                                                                                   Tuesday                                         12:00-12:50                                         AGL-1                                                                                                                                                   Wednesday                                         12:00-12:50                                         AGL-1
63,CHC306(Chemical Process Equipment Design),Lutukurthi D N V V Konda,ce,b.tech,ce/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         PET 2
64,CHC307(Process Modelling and Simulation),Pantula Devi Priyanka,ce,b.tech,ce/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         PET 2
65,CHC308(Chemical Process Equipment Design Lab),"Lutukurthi D N V V Konda,Paidinaidu  Paluri",ce,b.tech,ce/6/,0-0-3,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         12:00-12:50                                                                                                                                                                                            Friday                                         10:00-10:50                                                                                                                                                                                            Friday                                         11:00-11:50                                         CSE LAB -IV
66,CHC309(Process Simulation Lab),"Aritra  Santra,Arunkumar  Samanta",ce,b.tech,ce/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         CSE LAB - III
67,CHD408(Process Data Analytics),Pantula Devi Priyanka,ce,b.tech,ce/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-C4                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-C4                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-C4
68,CHO301(Petroleum Refining),Sourav  Sengupta,ce,b.tech,ce/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         PET 2                                                                                                                                                   Tuesday                                         05:00-05:50                                         PET 2                                                                                                                                                   Wednesday                                         05:00-05:50                                         PET 2
69,CHO404(AI in Process Industries),Soumyajit Sen Gupta,ce,b.tech,ce/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-C14                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-C14                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-C14
70,CSC305(Computer Networks),Chiranjeev  Kumar,cse,b.tech,cse/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         NAC Hall
71,CSC306(Software Engineering),Tanusree  Kaibartta,cse,b.tech,cse/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         NAC Hall
72,CSC307(Computer Networks Lab),"Hari  Om,Nikhil Tripathi",cse,b.tech,cse/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         09:00-09:50                                         NLHC Computer Lab - I                                                                                                                                                   Friday                                         08:00-08:50                                         NLHC Computer Lab - I
73,CSC308(Software Engineering Lab),"Chiranjeev  Kumar,Rahul Gangopadhyay",cse,b.tech,cse/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         09:00-09:50                                         NLHC Computer Lab - III                                                                                                                                                   Thursday                                         08:00-08:50                                         NLHC Computer Lab - III
74,CSO302(Graph Theory),Sushanta  Mukhopadhyay,cse,b.tech,cse/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         NAC Hall                                                                                                                                                   Thursday                                         05:00-05:50                                         NAC Hall                                                                                                                                                   Friday                                         04:00-04:50                                         NAC Hall
75,CSO503(Data Mining),Prasanta K. Jana,cse,b.tech,cse/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G8                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G8                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G8
76,CSO506(Principles of Blockchain Technologies),Hari  Om,cse,b.tech,cse/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         NAC Hall                                                                                                                                                   Tuesday                                         05:00-05:50                                         NAC Hall                                                                                                                                                   Wednesday                                         05:00-05:50                                         NAC Hall
77,CEC305(Design of Steel Structures ),Rahul  Bhartiya,cve,b.tech,civ/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         LC-II-C8
78,CEC306(Water Resources Engineering),Srinivas  Pasupuleti,cve,b.tech,civ/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-C8
79,CEC307(Structural Detailing Laboratory),Rahul  Bhartiya,cve,b.tech,civ/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         11:00-11:50                                         CSE LAB - III
80,CEC308(Water Resources Engineering Laboratory),"Abhishek Kumar Pandey,Srinivas  Pasupuleti",cve,b.tech,civ/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         CEUG3
81,CED403(Advanced Hydrology),Shushobhit   Chaudhary,cve,b.tech,civ/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-C6                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-C6                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-C6
82,CEO303(Construction Management),Srinivas  Pasupuleti,cve,b.tech,civ/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-G7                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-G7                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-G7
83,CEO402(Optimization Methods),Pranesh  Roy,cve,b.tech,civ/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                                                                                                                                                                            Thursday                                         05:00-05:50                                                                                                                                                                                            Friday                                         04:00-04:50
84,ECC306(Digital Communication),Ugrasen   Singh,ece,b.tech,ece/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         LC-II-G16
85,ECC307(Microwave Engineering),Prashant Kumar Varshney,ece,b.tech,ece/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-G16
86,ECC308(Digital Communication Lab),"Debjani  Mitra,Ugrasen   Singh",ece,b.tech,ece/6/,0-0-3,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         12:00-12:50                                                                                                                                                                                            Friday                                         10:00-10:50                                                                                                                                                                                            Friday                                         11:00-11:50
87,ECC309(Microwave Engineering Lab),"Prashant Kumar Varshney,Santanu  Dwari",ece,b.tech,ece/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         Microwave & Antenna Lab (232)
88,ECD409(Fiber Optics and Laser Instrumentation),Swati Rajput,ece,b.tech,ece/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G16                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G16                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G16
89,ECO302(Power Electronics),Sanjeev Kumar Raghuwanshi,ece,b.tech,ece/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-G15                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-G15                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-G15
90,ECO400(Stochastic Methods in Data Science),"Aman  Sikri,Manoj Kumar",ece,b.tech,ece/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G16                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G16                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G16
91,EEC311(Power System Analysis and Control),Gauri  Shankar,ee,b.tech,ee/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         LC-II-G15
92,EEC312(Electrical Drives and Applications),Kartick Chandra Jana,ee,b.tech,ee/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-G15
93,EEC377(Power and Switchgear Lab),"Shyam  A B,Vedantham Lakshmi Srinivas",ee,b.tech,ee/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         11:00-11:50                                         PS Lab
94,EEC378(Power Electronics and Drives lab),"Anirban  Ghoshal,Ashok  Kumar",ee,b.tech,ee/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         Drives Lab
95,EED404(Reactive Power and Voltage Control ),Vivekananda  Mukherjee,ee,b.tech,ee/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G15                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G15                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G15
96,EEO301(Microprocessor & Microcontroller),Haswanth  Vundavilli,ee,b.tech,ee/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-G15                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-G15                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-G15
97,EEO302(Industrial Utilization of Electrical Power),Bhukya Krishna Naick,ee,b.tech,ee/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G15                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G15                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G15
98,ESC311(Solid Waste Management),Vipin  Kumar,ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         LC-II-C5
99,ESC312(Geoinformatics),Manish Kumar Jain,ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-C16
100,ESC357(Solid Waste Management Practical),Vipin  Kumar,ese,b.tech,env/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         11:00-11:50                                         Wastewater Lab
101,ESC358(Geoinformatics Practical),Manish Kumar Jain,ese,b.tech,env/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50                                         Remote Sensing & GIS Lab
102,ESD402(Industrial Waste Water Engineering),Sunil Kumar Gupta,ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G8                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G8                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G8
103,ESD404(Water Resource Planning and Management),Tinesh  Pathania,ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G8                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G8                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G8
104,ESO301(Applied Statistics for Environmental Engineering),Riya  Dutta,ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-G8                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-G8                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-G8
105,MSO301(Operations Research),Rashmi  Singh,ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G6                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G6                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G6
106,MSO401(Principles of Economics),Mohd.  Irfan,ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-G6                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-G6                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-G6
107,MSO402(Introduction to Financial Management),"Niladri  Das,Shashank   Bansal",ese,b.tech,env/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         04:00-04:50                                         LC-II-G6                                                                                                                                                   Tuesday                                         05:00-05:50                                         LC-II-G6                                                                                                                                                   Wednesday                                         05:00-05:50                                         LC-II-G6
108,FMC303(Mechanical Metallurgy),Avanish  Kumar,fme,b.tech,mlmte/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         03:00-03:50                                         LC-II-C14
109,FMC304(Coal and Mineral Processing Plant Design),Pankaj Kumar Jain,fme,b.tech,mlmte/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         03:00-03:50                                         LC-II-C14
110,FMC305(Coal and Mineral Processing Plant Design Laboratory),Pankaj Kumar Jain,fme,b.tech,mlmte/6/,0-0-2,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Thursday                                         10:00-10:50
111,FMC352(Heat Treatment and Mechanical Metallurgy Laboratory),Kasturi  Sala,fme,b.tech,mlmte/6/,0-0-3,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Friday                                         12:00-12:50                                                                                                                                                                                            Friday                                         11:00-11:50                                                                                                                                                                                            Friday                                         10:00-10:50
112,FMD402(Welding Metallurgy ),Vivek Kumar Sahu,fme,b.tech,mlmte/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Monday                                         05:00-05:50                                         LC-II-C9                                                                                                                                                   Thursday                                         04:00-04:50                                         LC-II-C9                                                                                                                                                   Friday                                         05:00-05:50                                         LC-II-C9
113,FMD463(Non Ferrous Extractive Metallurgy ),Aarti  Kumari,fme,b.tech,mlmte/6/,3-0-0,Day                                     Slot/Time                                      Venue                                                                                                                                                                                                         Tuesday                                         04:00-04:50                                         LC-II-G10                                                                                                                                                   Thursday                                         05:00-05:50                                         LC-II-G10                                                                                                                                                   Friday                                         04:00-04:50                                         LC-II-G10
